"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000445","가평고등학교","04","공립","N","","8","200","25","8","205","25.6","8","183","22.9","2","10","5","0","0","0","26","598","23","51","11.7"
"경기도교육청","경기도수원교육지원청","경기도 수원시 장안구","S090000447","경기과학고등학교","04","공립","N","","8","123","15.4","8","127","15.9","8","128","16","0","0","0","0","0","0","24","378","15.8","73","5.2"
"경기도교육청","경기도수원교육지원청","경기도 수원시 권선구","S090000448","경기대명고등학교","04","공립","N","","2","22","11","2","30","15","2","24","12","0","0","0","0","0","0","6","76","12.7","23","3.3"
"경기도교육청","경기도수원교육지원청","경기도 수원시 장안구","S090000449","경기체육고등학교","04","공립","N","","3","88","29.3","3","80","26.7","3","78","26","0","0","0","0","0","0","9","246","27.3","30","8.2"
"경기도교육청","경기도이천교육지원청","경기도 이천시","S090000450","이천세무고등학교","04","공립","N","","2","44","22","2","41","20.5","2","47","23.5","0","0","0","0","0","0","6","132","22","14","9.4"
"경기도교육청","경기도의정부교육지원청","경기도 의정부시","S090000451","경민고등학교","04","사립","N","","10","254","25.4","10","266","26.6","10","234","23.4","0","0","0","0","0","0","30","754","25.1","59","12.8"
"경기도교육청","경기도의정부교육지원청","경기도 의정부시","S090000453","경민비즈니스고등학교","04","사립","N","","9","178","19.8","9","164","18.2","8","119","14.9","0","0","0","0","0","0","26","461","17.7","54","8.5"
"경기도교육청","경기도의정부교육지원청","경기도 의정부시","S090000455","경민IT고등학교","04","사립","N","","8","179","22.4","8","184","23","8","165","20.6","0","0","0","0","0","0","24","528","22","52","10.2"
"경기도교육청","경기도안산교육지원청","경기도 안산시 단원구","S090000457","경안고등학교","04","사립","N","","12","304","25.3","13","329","25.3","13","300","23.1","0","0","0","0","0","0","38","933","24.6","74","12.6"
"경기도교육청","경기도안산교육지원청","경기도 안산시 단원구","S090000458","경일관광경영고등학교","04","사립","N","","12","255","21.3","12","251","20.9","12","201","16.8","0","0","0","0","0","0","36","707","19.6","80","8.8"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090000460","경화여자고등학교","04","사립","N","","11","332","30.2","12","358","29.8","11","269","24.5","0","0","0","0","0","0","34","959","28.2","66","14.5"
"경기도교육청","경기도부천교육지원청","경기도 부천시 원미구","S090000463","계남고등학교","04","공립","N","","9","223","24.8","9","247","27.4","9","215","23.9","2","11","5.5","0","0","0","29","696","24","56","12.4"
"경기도교육청","경기도성남교육지원청","경기도 성남시 분당구","S090000466","계원예술고등학교","04","사립","N","","8","327","40.9","8","320","40","8","320","40","0","0","0","0","0","0","24","967","40.3","44","22"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000468","백송고등학교","04","사립","N","","5","130","26","5","132","26.4","5","121","24.2","0","0","0","0","0","0","15","383","25.5","28","13.7"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000469","고양외국어고등학교","04","사립","N","","10","234","23.4","10","228","22.8","10","209","20.9","0","0","0","0","0","0","30","671","22.4","61","11"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000470","고양고등학교","04","공립","N","","8","166","20.8","8","164","20.5","8","159","19.9","1","9","9","0","0","0","25","498","19.9","61","8.2"
"경기도교육청","경기도안산교육지원청","경기도 안산시 단원구","S090000471","고잔고등학교","04","공립","N","","11","276","25.1","12","312","26","11","262","23.8","2","13","6.5","0","0","0","36","863","24","68","12.7"
"경기도교육청","경기도안양과천교육지원청","경기도 과천시","S090000472","과천고등학교","04","공립","N","","8","175","21.9","8","191","23.9","8","195","24.4","2","11","5.5","0","0","0","26","572","22","53","10.8"
"경기도교육청","경기도안양과천교육지원청","경기도 과천시","S090000473","과천여자고등학교","04","사립","N","","6","123","20.5","6","100","16.7","6","87","14.5","0","0","0","0","0","0","18","310","17.2","38","8.2"
"경기도교육청","경기도안양과천교육지원청","경기도 과천시","S090000474","과천외국어고등학교","04","사립","N","","10","235","23.5","10","218","21.8","10","189","18.9","0","0","0","0","0","0","30","642","21.4","55","11.7"
"경기도교육청","경기도안양과천교육지원청","경기도 과천시","S090000475","과천중앙고등학교","04","공립","N","","8","182","22.8","8","175","21.9","8","179","22.4","1","5","5","0","0","0","25","541","21.6","48","11.3"
"경기도교육청","경기도안양과천교육지원청","경기도 안양시 동안구","S090000476","경기게임마이스터고등학교","04","공립","N","","4","73","18.3","4","74","18.5","4","69","17.3","1","4","4","0","0","0","13","220","16.9","29","7.6"
"경기도교육청","경기도안양과천교육지원청","경기도 안양시 동안구","S090000477","관양고등학교","04","공립","N","","12","318","26.5","12","310","25.8","12","312","26","2","9","4.5","0","0","0","38","949","25","73","13"
"경기도교육청","경기도포천교육지원청","경기도 포천시","S090000478","관인고등학교","04","공립","N","","1","11","11","2","25","12.5","2","27","13.5","1","2","2","0","0","0","6","65","10.8","15","4.3"
"경기도교육청","경기도구리남양주교육지원청","경기도 남양주시","S090000479","광동고등학교","04","사립","N","","12","378","31.5","12","375","31.3","12","352","29.3","0","0","0","0","0","0","36","1105","30.7","68","16.3"
