"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","학교특성","분교여부","설립유형","주야구분","개교기념일","설립일","법정동코드","주소내역","상세주소내역","우편번호","학교도로명 우편번호","학교도로명 주소","학교도로명 상세주소","위도","경도","전화번호","팩스번호","홈페이지 주소","남녀공학 구분","폐교여부","폐교일자","휴교여부"
"경기도교육청","경기도교육청","경기도 가평군","S090000445","가평고등학교","04","공립","일반고등학교","N","단설","주간","19540401","19540401","4182025022","경기도 가평군 가평읍 대곡1리","113번지.","477804","12421","경기도 가평군 가평읍 호반로 2601","(가평읍, 가평고등학교)","37.818157","127.513371","031-580-7021","031-582-6301","https://gapyeong-h.goegp.kr","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 수원시 장안구","S090000447","경기과학고등학교","04","공립","특수목적고등학교","N","단설","주간","19830110","19830110","4111113500","경기도 수원시 장안구 송죽동","68-23번지.","440800","16297","경기도 수원시 장안구 수일로 135","(송죽동,경기과학고등학교)","37.30923","127.00675","031-259-0400","031-253-2812","www.gs.hs.kr","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 수원시 권선구","S090000448","경기대명고등학교","04","공립","특성화고등학교","N","단설","주간","20020325","20020301","4111314100","경기도 수원시 권선구 당수동","122번지.","441480","16364","경기도 수원시 권선구 수인로598번길 3-24",", 경기대명고등학교 (당수동)","37.295855","126.940182","031-300-3600","031-300-3660","https://daemyoung-h.goesw.kr/","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 수원시 장안구","S090000449","경기체육고등학교","04","공립","특수목적고등학교","N","단설","주간","19950301","19950301","4111113300","경기도 수원시 장안구 천천동","30-1.","440330","16322","경기도 수원시 장안구 상률로 106",", 경기체육고등학교 (천천동)","37.303775","126.9784","031-547-8500","031-207-2084","https://ggpe-h.goesw.kr","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 이천시","S090000450","이천세무고등학교","04","공립","특성화고등학교","N","병설","주간","19580315","19580315","4150037021","경기도 이천시 설성면 금당리","175.","467881","17411","경기도 이천시 설성면 설성로15번길 26",", 이천세무고등학교 (설성면)","37.135751","127.5188644","031-641-6038","031-641-5944","semu.goeic.kr","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 의정부시","S090000451","경민고등학교","04","사립","일반고등학교","N","단설","주간","19710129","19710129","4115011000","경기도 의정부시 가능3동","562-1.","480702","11618","경기도 의정부시 서부로 545","(가능동,경민고등학교)","37.747253","127.024884","031-828-7801","031-828-7629","https://kyungmin-h.goeujb.kr","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 의정부시","S090000453","경민비즈니스고등학교","04","사립","특성화고등학교","N","단설","주간","19750304","19740107","4115011000","경기도 의정부시 가능3동 경민대학","562-1.","480702","11618","경기도 의정부시 서부로 545","(가능동)","37.746977","127.025603","031-828-7822","031-828-7954","https://kmbiz-h.goeujb.kr","녀","N","","N"
"경기도교육청","경기도교육청","경기도 의정부시","S090000455","경민IT고등학교","04","사립","특성화고등학교","N","단설","주간","19850122","19850122","4115011000","경기도 의정부시 가능3동","562-1.","480103","11618","경기도 의정부시 서부로 545","(가능동,경민IT고등학교)","37.746625","127.024476","031-828-7841","031-828-7955","https://kmit-h.goeujb.kr/kmit-h/main.do","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 안산시 단원구","S090000457","경안고등학교","04","사립","일반고등학교","N","단설","주간","19950114","19950114","4127310100","",".","","15335","경기도 안산시 단원구 당곡로 93",", 경안고등학교 (고잔동)","37.326018","126.833513","031-483-1833","031-483-1836","https://gyeongan-h.goeas.kr/","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 안산시 단원구","S090000458","경일관광경영고등학교","04","사립","특성화고등학교","N","단설","주간","19910301","19910301","4127310900","경기도 안산시 단원구 선부2동","1053번지.","425829","15219","경기도 안산시 단원구 석수로 131","(선부동, 경일관광경영고등학교)","37.3481338","126.8051194","031-3631-400","031-486-9119","kyongil-h.goeas.kr","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 광주시","S090000460","경화여자고등학교","04","사립","일반고등학교","N","단설","주간","19750601","19781108","4161010300","경기도 광주시 송정동","52-1.","464901","12741","경기도 광주시 수하길11번길 43","(송정동)","37.419191","127.264595","031-799-0500","031-764-2457","https://kyunghwa-h.goegh.kr","녀","N","","N"
"경기도교육청","경기도교육청","경기도 부천시 원미구","S090000463","계남고등학교","04","공립","일반고등학교","N","단설","주간","19930301","19930301","4119210800","경기도 부천시 원미구 중동",".","","14581","경기도 부천시 원미구 부흥로 261",", 계남고등학교 (중동)","37.4961045","126.7719229","032-717-7100","032-717-7111","https://gyenam-h.goebc.kr","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 성남시 분당구","S090000466","계원예술고등학교","04","사립","특수목적고등학교","N","단설","주간","19801010","19800124","4113510300","경기도 성남시 분당구 정자동","207.","463815","13606","경기도 성남시 분당구 불정로 100","(정자동)","37.3586403","127.1158508","031-710-8500","031-713-0727","www.kaywon.hs.kr","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 고양시 일산서구","S090000468","백송고등학교","04","사립","일반고등학교","N","단설","주간","19740105","19740105","4128710500","경기 고양시 일산서구 덕이동","753-11.","411809","10228","경기도 고양시 일산서구 덕이로 172번길 4-39","(덕이동)","37.697368","126.74211","031-929-0600","031-922-0905","https://baeksong-h.goegy.kr","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 고양시 덕양구","S090000469","고양외국어고등학교","04","사립","특수목적고등학교","N","단설","주간","19880304","19880304","4128111800","경기도 고양시 덕양구 관산동","335.","412803","10286","경기도 고양시 덕양구 통일로 820","(관산동)","37.6899468","126.8615612","031-969-9072","031-962-8169","gyfl.hs.kr","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 고양시 덕양구","S090000470","고양고등학교","04","공립","특성화고등학교","N","단설","주간","19380110","19380110","4128111100","경기도 고양시 덕양구 삼송동","45-2.","412080","10556","경기도 고양시 덕양구 삼송로 171","(삼송동)","37.654574","126.89266","02-350-5700","02-350-5895","http://koyang-h.goegy.kr","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 안산시 단원구","S090000471","고잔고등학교","04","공립","일반고등학교","N","단설","주간","20010105","20010105","4127310100","경기도 안산시 단원구 고잔동","776-1.","425020","15478","경기도 안산시 단원구 광덕2로 222","(고잔동, 고잔고등학교)","37.3088756","126.835518","031-486-6764","031-486-6776","kojan-h.goeas.kr","남녀공학","N","","N"
"경기도교육청","경기도교육청","경기도 과천시","S090000472","과천고등학교","04","공립","일반고등학교","N","단설","주간","19841127","19841127","4129010900","",".","","13836","경기도 과천시 꿈보람길 26",", 과천고등학교 (별양동)","37.431077","126.997033","02-3419-9145","02-3418-9196","https://gwacheon-h.goeay.kr","남녀공학","N","","N"
